tiger_1.02	fast_tiger	tiger-calculator
0.0310621242485	0.0445892	0.04458917835671343
0.0280561122244	0.0415832	0.04158316633266533
0.064128256513	0.0779893	0.07798931195724784
0.0362391449566	0.0582832	0.05828323313293254
0.0415831663327	0.0571142	0.05711422845691383
0.0405811623246	0.0696393	0.06963927855711423
0.0355711422846	0.0445892	0.04458917835671343
0.0370741482966	0.0490982	0.04909819639278557
0.0360721442886	0.0465932	0.04659318637274549
0.0521042084168	0.0576152	0.057615230460921846
0.0285571142285	0.0465932	0.04659318637274549
0.0435871743487	0.0415832	0.04158316633266533
0.0400801603206	0.0410822	0.041082164328657314
0.0325651302605	0.0480962	0.04809619238476954
0.0480961923848	0.0395792	0.039579158316633264
0.0320641282565	0.0395792	0.039579158316633264
0.0305611222445	0.0490982	0.04909819639278557
0.0470941883768	0.0450902	0.045090180360721446
